"NOME_CANDIDATO","NOME_URNA_CANDIDATO","COD_GRAU_INSTRUCAO","CODIGO_ESTADO_CIVIL"
"BERILO BERNARDINO DE OLIVEIRA","MAJOR BERILO",8,1
"CARLOS ALBERTO CAVALCANTE DE SOUZA","CARLOS SOUZA",8,1
"CUSTODIO DE OLIVEIRA BEDIDO","CUSTODIO BEDIDO",6,1
"DARCY HUMBERTO MICHILES","HUMBERTO MICHILES",7,1
"DAVIS TORRES DE ARAUJO","SGT.DAVIS",8,1
"EMMANUEL MACHADO PINHEIRO SALAZAR","DR. SALAZAR",8,1
"ERNESTO NUNES DA COSTA","DR. ERNESTO",8,1
"FRANCISCO DE ASSIS DA CRUZ GOMES","IRMÃO ASSIS",4,1
"FRANCISCO EDNALDO PRACIANO","PRACIANO",8,1
"FRANCISCO GOMES DE OLIVEIRA","DR CHICÃO",8,1
"IRANILDO MOREIRA DE SOUZA","IRANILDO SOUZA",6,1
"JANILSON LUIZ MENDES PEREIRA","JANILSON MENDES",6,1
"JOAO WELLINGTON DE MEDEIROS CURSINO","TONY MEDEIROS",8,1
"JOSE APARECIDO DOS SANTOS","APARECIDO",8,1
"JOSE FERNANDO LOBATO","DR LOBATO",8,1
"JOSE MELO DA SILVA SOBRINHO","JOSE MELO",6,1
"JOSE ADILSON VIEIRA DE JESUS","ADILSON",7,1
"JOSE LUPERCIO RAMOS DE OLIVEIRA","LUPÉRCIO RAMOS",8,1
"LADISLON ARAUJO DIRANE","CARECA",7,1
"LUIZ FERNANDO SARMENTO NICOLAU","DR. LUIZ FERNANDO",8,1
"LUIZ PEREIRA MELO DE SOUZA","LUIZINHO MELO",3,1
"MARCELO AUGUSTO DA EIRA CORREA","MARCELO SERAFIM",8,1
"MIGUEL CAPOBIANGO NETO","MIGUEL BIANGO",8,1
"NELSON CAVALCANTE CAMPOS","NELSINHO",7,1
"NORMELIA SERRAO MENDONCA","NORMÉLIA SERRÃO",4,1
"PAULO FRANCISCO DUTRA CHAVES","CORONEL DUTRA",8,1
"PAULO HERBAN MACIEL JACOB FILHO","PAULO JACOB",8,1
"PEDRO GARCIA","PEDRO GARCIA",6,1
"RAIMUNDO ORLEANS DA CONCEICAO DE ALMEIDA NEVES","CAPITAO ORLEANS",8,1
"RAIMUNDO SABINO CASTELO BRANCO MAUES","SABINO CASTELO BRANCO",6,1
"ROBERTO CARLOS RIBEIRO PEREIRA","ROBERTO CARLOS",6,1
"RONALDO DE BRITO LEITE","RONALDO LEITE",8,1
"SILAS CAMARA","SILAS CAMARA",8,1
"SOLANE DE FATIMA PEREIRA CARVALHO","SOL",6,1
"VANESSA GRAZZIOTIN","VANESSA",8,1
"ALLAN ROSAS SALES","ALLAN SALES",6,1
"AMAURI DE SOUZA BARROS","AMAURI BARROS",6,1
"ANTONIO DA JUSTA FEIJAO","FEIJAO",8,1
"ARMANDO ALVES JUNIOR","CORONEL ALVES",8,1
"BENEDITO DIAS DE CARVALHO","DR. BENEDITO DIAS",8,1
"CLAUDIO PINHO SANTANA","CLAUDIO PINHO 4013",8,1
"CONCEICAO CORREA MEDEIROS","CONCEIÇÃO MEDEIROS",8,1
"CELIO UBIRAJARA ARAUJO DIAS","JARA",8,1
"EDILSON VEIRA ROCHA","ROCHA DO SUCATÃO",6,1
"EDIMILSOM DE JESUS TEIXEIRA","TONY",3,1
"EDUARDO SEABRA DA COSTA","EDUARDO SEABRA",8,1
"ELIANE GONCALVES","ELIANE",8,1
"ELIEL TENORIO SOARES","TENORIO",8,1
"ERALDO DA SILVA TRINDADE","ERALDO TRINDADE",7,1
"FERNANDO ANTONIO DE FARIAS AIRES","DR. FERNANDO",8,1
"FATIMA LUCIA PELAES","FÁTIMA PELAES",8,1
"GERALDO DE JESUS CAPELA DE ARAUJO","GERALDO CAPELA 4080",8,1
"GERVASIO AUGUSTO DE OLIVEIRA","GERVÁSIO OIVEIRA",8,1
"HELIO BORGES DE SOUSA ESTEVES FILHO","HELIO ESTEVES",8,1
"HILDEMAR SOUZA DE AZEVEDO PICANCO","BADU PICANÇO",8,1
"ISAAC SILVA GOMES","ISAAC SILVA",6,1
"JANETE MARIA GOES CAPIBERIBE","JANETE 4040",7,1
"JESAIAS SILVA E SILVA","JEZA",4,1
"JONAS PINHEIRO BORGES","JONAS PINHEIRO",8,1
"JORGE ELIAS CASTRO","ELIAS",8,1
"JOSE CARLOS MAGALHAES BARROSO","PASTOR CARLOS BEIRAO",5,1
"JOSE CHAGAS ALVES","DR. CHAGAS",8,1
"JOSE LUIZ DA SILVA FERREIRA","JOSÉ LUIZ",6,1
"JOSUE BATISTA DA COSTA","JOSUE COSTA",5,1
"JOSE ALMIR DE FREITAS","ALMIR",4,1
"JOSE LUIZ NOGUEIRA DE SOUSA","ZÉ LUIZ",6,1
"JOSE RAIMUNDO COUTINHO PEREIRA","COUTINHO",8,1
"JOAO NASCIMENTO BORGES FILHO","JOÃO BORGES",8,1
"LEIVO RODRIGUES DOS SANTOS","PROFº LEIVO RODRIGUES 4023",8,1
"LEONIL DE AQUINO PENA AMANAJAS","PROFESSOR LEONIL AMANAJÁS",8,1
"LUIZ CARLOS DE CAMARGO","PROF. LUIZ 4010",8,1
"LUCIO ADELSON DE SOUSA MENDES","TEN. ADELSON 4090",7,1
"MAIR PAULA RODRIGUES","MAIR DE PAULA",6,1
"MARIA DALVA DE SOUZA FIGUEIREDO","PROFª DALVA",8,1
"MARIA LUCENIRA FERREIRA OLIVEIRA PIMENTEL","LUCENIRA PIMENTEL",8,1
"MARINALVA DE SENA GOMES","NALVA GOMES 4004",6,1
"MAURA RODRIGUES LIMA","MAURA RODRIGUES",4,1
"MESSIAS REIS DA SILVA","MESSIAS",6,1
"MOACIR DE ARAUJO ALMEIDA JUNIOR","ALMEIDA JUNIOR",8,1
"MARCIO ALESSANDRO FLEXA DE OLIVEIRA","ALESSANDRO SABINO",6,1
"RAIMUNDO AMERICO FURTADO DE MIRANDA","MIRANDA 4009",8,1
"REINALDO MACEDO DA SILVA","REI",8,1
"RIVADAVIA MIGUEL DE SOUZA FRANCA","MIGUEL FRANÇA",6,1
"SANZIO JOSE LEAL CUNHA","SANZIO 4022",6,1
"SEBASTIAO FERREIRA DA ROCHA","BALA",8,1
"VALDENOR GUEDES SOARES","VALDENOR GUEDES",8,1
"VALTER RUBEN VANDER LINDEN VIEIRA","VALTER VIEIRA",8,1
"WALDEIR GARCIA RIBEIRO","WALDEIR",8,1
"WALFREDO WILSON DAS NEVES","WALFREDO DAS NEVES",8,1
"ADALBERTO LELIS FILHO","BETO LELIS",4,1
"ADELMO ALMEIDA DE MENEZES","ADELMO",7,1
"ALEXANDRE PEREIRA DE SOUSA","ALEXANDRE",7,1
"ALICE MAZZUCO PORTUGAL","ALICE PORTUGAL",8,1
"AMARO DOS SANTOS FILHO","MARINHO",3,1
