"NOME_CANDIDATO","NOME_URNA_CANDIDATO","COD_GRAU_INSTRUCAO","CODIGO_ESTADO_CIVIL"
"FRANCISCO ALMINO LEITE DE MENEZES","ALMINO MENEZES",8,1
"FRANCISCO ANTONIO GIRLANDO AIRES RODRIGUES","GIRLANO RODRIGUES",6,1
"FRANCISCO ARIOSTO HOLANDA","ARIOSTO HOLANDA",8,1
"FRANCISCO CLAUDIO PINTO PINHO","CLÁUDIO PINHO",8,1
"FRANCISCO EVANDO DELFINO MOREIRA","EVANDO MOREIRA",7,1
"FRANCISCO JANIR DE SOUSA","JANIR",6,1
"FRANCISCO LOPES DA SILVA","CHICO LOPES",8,1
"FRANCISCO MELO DOS SANTOS","CHIQUINHO DA VILA",8,1
"FRANCISCO RUBENS FREITAS SOUZA","RUBENS FREITAS",6,1
"FRANCISCO SOLISMAR LOPES DE ARAUJO","SOLISMAR",4,1
"GUMERCINDO TOURINHO FILHO","TOURINHO FILHO",8,1
"HAILTON PAULA DA SILVA","HAILTON",6,1
"JOAO DA CRUZ SILVA","JOÃO DA CRUZ",8,1
"JOAO DE SOUZA XAVIER","JOAO CARTEIRO",6,1
"JOSE ALRI RODRIGUES NOGUEIRA","ALRI NOGUEIRA",8,1
"JOSE ARNON CRUZ BEZERRA DE MENEZES","ARNON BEZERRA",8,1
"JOSE GARCIA FERNANDES","ZE MARIA DA FOTO",6,1
"JOSE JAIRO ARAUJO","JOSE JAIRO",4,1
"JOSE LEORNE NOGUEIRA","PROFESSOR LEORNE NOGUEIRA",8,1
"JOSE MARIA PIMENTA LIMA","ZEMARIA PIMENTA",8,1
"JOSE RIBAMAR AGUIAR JUNIOR","AGUIAR JÚNIOR",8,1
"JOSE SALOMAO BARBOSA CIRIACO","SALOMAO CIRIACO",6,1
"JOSE AIRTON FELIX CIRILO DA SILVA","JOSÉ AIRTON",8,1
"JOSE BARROSO PIMENTEL","PIMENTEL",8,1
"JOSE CARLOS VENERANDA DA SILVA","CARLOS VENERANDA",7,1
"JOSE GERARDO OLIVEIRA DE ARRUDA FILHO","ZÉ GERARDO",6,1
"JOSE NOBRE GUIMARAES","GUIMARÃES",8,1
"JOSE ORLANDO SAMPAIO","ZÉ ORLANDO",7,1
"JOSE RENATO FERREIRA TORRANO","RENATO TORRANO",8,1
"JOSE RUBENS MONTEIRO BRASIL","RUBENS BRASIL",8,1
"JOAO BARBOSA PINHEIRO SOBRINHO","JOÃO PINHEIRO",8,1
"JOAO BOSCO PAZ REBOUCAS","JOÃO BOSCO",6,1
"JOAO CARLOS AUGUSTO MELO MOREIRA","JOÃO CARLOS",8,1
"JULIO AUGUSTO GURGEL ALVES","DR. JÚLIO",8,1
"JURACI VEIRA DE MAGALHAES","JURACI",8,1
"LEILSON BORGES DA SILVA","LEILSON BORGES",4,1
"LEONARDO ROSARIO DE ALCANTARA","LEO ALCÂNTARA",8,1
"LUIS ACACIO SOUSA JUNIOR","ACACIO JUNIOR",8,1
"LUIS JOSE BATISTA DA SILVA","LUIS JOSE",4,1
"LUIZ DE GONZAGA FONSECA MOTA","GONZAGA MOTA",8,1
"MANOEL BEEL DE OLIVEIRA","BEEL",6,1
"MANOEL PEDRO FILHO","PEDIM",4,1
"MANOEL RAIMUNDO DE SANTANA NETO","DR. SANTANA",8,1
"MANUEL NUNES DO CARMO","MANUEL NUNES",6,1
"MARCO ANTONIO BARROSO PRADO","MARCO PRADO",8,1
"MARIA APARECIDA PEREIRA DE ALBUQUERQUE","CIDA",8,1
"MARIA AURELENA DA SILVEIRA CARNEIRO","LENA",5,1
"MARIA CRERINEUMA DE OLIVEIRA SILVA","CLERYNEUMA",6,1
"MARIA DE JESUS CARNEIRO","JESUS",5,1
"MARIA GORETE PEREIRA","GORETE PEREIRA",8,1
"MARIA JANI DA COSTA","JANI COSTA",4,1
"MARIA JOSE CHAVES DE MORAIS","ZEZÉ MORAIS",8,1
"MARIA ZELIA SALES MESQUITA","ZÉLIA MESQUITAS",4,1
"MARINILSON PEREIRA DOS SANTOS","SOLDADO MARINILSON",4,1
"MARK DE ALBUQUERQUE VIANA","MARK VIANA",8,1
"MARIO MAMEDE FILHO","MÁRIO MAMEDE",8,1
"PAULO BARRETO RIBEIRO MINDELLO","PAULO MINDÊLLO",8,1
"PAULO HENRIQUE ELLERY LUSTOSA DA COSTA","PAULO HENRIQUE LUSTOSA",8,1
"PAULO ROBERTO DOURADO ARRUDA","PAULO DOURADO",6,1
"PEDRO IDELANO DE ALENCAR FELICIO","IDELANO FELICIO",8,1
"PEDRO RIBEIRO FILHO","PASTOR PEDRO RIBEIRO",7,1
"RAIMUNDO GOMES DE MATOS","RAIMUNDO GOMES DE MATOS",8,1
"RAMIRO BRAGA DE FREITAS","RAMIRO BRAGA",4,1
"RIBAMAR VIANA DA SILVA","RIBAMAR DO HOSPITAL",4,1
"ROBERTO OLIVEIRA BARROS","ROBERTO OLIVEIRA",8,1
"SILVIO VIEIRA DA SILVA","SILVIO VIEIRA",8,1
"SAMIA MARIA MENESES BRILHANTE","SÂMIA BRILHANTE",8,1
"VICENTE ANTENOR FERREIRA GOMES FILHO","DR VICENTE",8,1
"VICENTE FERREIRA DE ARRUDA COELHO","VICENTE ARRUDA",8,1
"ALAN DEAN FERREIRA TOURINHO","ALAN TOURINHO",4,1
"ALAN VIGGIANO","ALAN VIGGIANO",8,1
"ARISTON JOSE MORAIS LIMA","SD ARISTON LIMA",7,1
"AUGUSTO SILVEIRA DE CARVALHO","AUGUSTO CARVALHO",8,1
"AURELIO FEITOSA MATTOS FILHO","CORONEL FEITOSA",8,1
"CESAR AUGUSTO GONCALVES","CESAR GONÇALVES",8,1
"CHARLES DE MAGALHAES ARAUJO JUNIOR","MAJOR CHARLES",8,1
"CHRISTIAN PERILLIER SCHNEIDER","CHRISTIAN SCHNEIDER",8,1
"CLAUDIO PEREIRA SANTANA","CLAUDIO SANTANA",8,1
"CLERIA AUGUSTA DOS SANTOS","CLÉRIA SANTOS",8,1
"EDUARDO DUTRA BRANDAO CAVALCANTI","EDUARDO BRANDÃO",8,1
"EGMAR TAVARES DA SILVA","PASTOR EGMAR",6,1
"ELZA CARVALHO LOPES","ELZA LOPES",8,1
"ERI RODRIGUES VARELA","ERI VARELA",8,1
"FREDO EBLING JUNIOR","FREDO",8,1
"GEDALIAS NEVES DA COSTA","PASTOR GEDALIAS",8,1
"GERALDO MAGELA PEREIRA","MAGELA",6,1
"ISMAEL JOSE CESAR","ISMAEL",8,1
"IVONE ARMANDO LUZARDO DE SOUSA","IVONE LUZARDO",8,1
"IVONE FERNANDES CARNEIRO","IVONINHA",6,1
"IZALCI LUCAS FERREIRA","IZALCI",8,1
"JOFRAN FREJAT","JOFRAN FREJAT",8,1
"JOSE RUBENS BENTO","J. RUBENS",6,1
"JOSINA MARA DE MELO DE LIMA SANTOS XAVIER SILVA DOS ANJOS","MARA MELO",7,1
"JOSE EDMAR DE CASTRO CORDEIRO","ZÉ EDMAR",8,1
"JOSE PEREIRA LIMA","JOSÉ PEREIRA",6,1
"JOAO ALBERTO FRAGA SILVA","FRAGA",8,1
"JOAO DE DEUS SILVA CARVALHO","JOÃO DE DEUS",4,1
"LUIS CARLOS SIGMARINGA SEIXAS","SIGMARINGA",8,1
"LUIZ ANDRE RORIZ SOLANO","DEDÉ RORIZ",7,1
"LUIZ CLAUDIO FREIRE DE SOUZA FRANCA","LUIZ FRANÇA",8,1
"MARIA ADELIA SOARES CORREIA DOS SANTOS","MARIA ADÉLIA",7,1
"MARIA DO SOCORRO CRONEMBERGER COSTA GOMES","SOCORRO CRONEMBERGER",8,1
"MARIA INES FONTENELE MOURAO","MARIA INÊS",6,1
"MARIA LAURA SALES PINHEIRO","MARIA LAURA",8,1
"MILTON CINTRA E SILVA","CINTRA",8,1
"NAIR ALVES DE ANDRADE","PROFª NAIR",8,1
"NELSON TADEU FILIPPELLI","TADEU FILIPPELLI",8,1
"ODETINO PEREIRA DIAS","ODETINO",6,1
"OSORIO ADRIANO FILHO","OSÓRIO",8,1
"PAULO CARVALHO XAVIER","PAULO XAVIER",8,1
"PAULO CEZAR CASTANHEIRO COELHO","PAULO FONA",8,1
"PAULO FERNANDO RAMOS SEREJO","PAULO SEREJO",8,1
"PAULO VALERIO SILVA LIMA","PAULO VALÉRIO",8,1
"PEDRO MAURINO CALMON MENDES","PEDRO CALMON",8,1
"PEDRO RODRIGUES DE CARVALHO","CARVALHO",7,1
"RICARDO QUIRINO DOS SANTOS","RICARDO QUIRINO",6,1
"ROGERIO SCHUMANN ROSSO","ROGÉRIO ROSSO",8,1
"ROMILDA TEIXEIRA SHINTATE","ROMILDA TEIXEIRA",8,1
"ROSIDETE MARIA ROSA","ROSE ROSA",7,1
"SEBASTIAO AUGUSTO BUANI","BUANI",8,1
"WASNY NAKLE DE ROURE","WASNY",8,1
"WILMAR LACERDA","WILMAR LACERDA",8,1
"ALEXANDRE VALDO MAITAN","ALEXANDRE MAITAN",8,1
"ALMIR BRESSAN JUNIOR","ALMIR BRESSAN",8,1
"ALOIZIO SANTOS","ALOIZIO SANTOS",8,1
"ANA LUCIA CORDEIRO REZENDE","ANA LUCIA REZENDE",8,1
"ANTONIO OLIMPIO MAGALHAES","ANTONIO MAGALHAES",7,1
"ANTONIO STEIN NETO","TONINHO STEIN",6,1
"ANTONIO TEODORO DE MORAES","TONINHO MORAES",8,1
"ANTONIO VALTER GALLON","ANTONIO GALLON",6,1
"AROLDO PEREIRA DOS SANTOS","PASTOR AROLDO",6,1
"CAMILO COLA","CAMILO COLA",4,1
"CARLOS ALBERTO LIRYO","CARLINHOS LIRYO",6,1
"CARLOS AUGUSTO BRAGA GONDIM DUARTE","PROFESSOR CARLOS",8,1
"CARLOS AURELIO LINHALIS","CAEL",8,1
"CARLOS HUMBERTO MANNATO","MANATO",8,1
"ELIAS DE SOUZA","ELIAS DO PT",6,1
"ELISA CLAUDIA SANT'ANA LEITE","ELISA",8,1
"ERALDO CAVICCHINI MATOS","PADRE ERALDO",8,1
"FABIO AMBROZIO NASCIMENTO TRINDADE","FABINHO TRINDADE",8,1
"FABIO MENDES GLORIA","FABINHO GLÓRIA",7,1
"FLAVIO MOREIRA","PROFESSOR FLAVIO",8,1
"FRANCISCO TARCISIO SILVA","TARCISIO SILVA",8,1
"GENARIO JOSE DA MATA","GENÁRIO SANFONEIRO",8,1
"HELENA DA SILVA GUIMARAES","HELENA BRITO",5,1
"HENRIQUE ANGELO DENICOLI","HENRIQUE DENICOLI",8,1
"HUMBERTO SIMOES GONCALVES","DR. HUMBERTO",8,1
"HERCULES DANTAS DOS SANTOS","PASTOR HÉRCULES DANTAS",8,1
"IRINY NICOLAU CORRES LOPES","IRINY LOPES",6,1
"ITAMAR ALVES FREIRE","ITAMAR FREIRE",6,1
"IVAN CARLINI","IVAN CARLINI",6,1
"JANDER NUNES VIDAL","DR. JANDER / JANDER",8,1
"JATHIR GOMES MOREIRA","JATHIR MOREIRA",8,1
"JOAO BARBOZA VALADARES","SOLDADO JOAO VALADARES",6,1
"JOAO MIGUEL FEU ROSA","FEU ROSA",8,1
"JOAQUIM CAPISTRANO DE SOUZA","KINKAS",8,1
"JONES CAVAGLIERI","JONES CAVAGLIERI",6,1
"JONIMAR SANTOS OLIVEIRA","JONIMAR",6,1
"JORGE SILVA","DR. JORGE SILVA",8,1
"JOSE FRANCISCO TEIXEIRA DO AMARAL","DR. AMARAL",8,1
"JOSE CARLOS DA FONSECA JUNIOR","JOSÉ CARLOS FONSECA JÚNIOR",8,1
"JOSE CARLOS PIGATTI","PIGATTI",8,1
"JOSE MANSUR SILVA MALHAME","MANSUR",8,1
"JOSE ROBERTO CORREA DO NASCIMENTO","DUDÉ",6,1
"JOAO ARTEM","JOÃO ARTÉM",8,1
"JORIO DE BARROS CARNEIRO","JÓRIO DE BARROS",8,1
"LEDA HELOISA DA SILVA","LEDA HELOISA",4,1
"LOURENCO DELAZARI NETO","LOURENÇO NETO",6,1
"LUCIANO SANTOS REZENDE","LUCIANO REZENDE",8,1
"LUCINIO CASTELO DE ASSUNCAO","CAPITÃO ASSUNÇÃO",8,1
"LUIS CANDIDO DURAO","LUIS DURAO",8,1
"LUIZ PAULO VELLOZO LUCAS","LUIZ PAULO",8,1
"LEDA MARIA BOLELLI TATAGIBA","LÊDA",8,1
"MARCELINO AYUB FRAGA","MARCELINO FRAGA",8,1
"MARCIA ALMEIDA MACHADO","MARCIA MACHADO",8,1
"MARCOS JACINTO MELLO","BISPO MARCOS",6,1
"MARCUS ANTONIO VICENTE","MARCUS VICENTE",8,1
"MARILYDIA ESPINDULA PASSOS COSTA","MARILYDIA VAREJÃO",8,1
"MAURICIO CORDEIRO FORNANCIARE","PADRE MAURÍCIO",7,1
"NEUCIMAR FERREIRA FRAGA","NEUCIMAR FRAGA",6,1
"NILTON GOMES OLIVEIRA","NILTON BAIANO",8,1
"PATRICIA ALMEIDA VARGAS SOARES","PATRICIA VARGAS",6,1
"RITA DE CASSIA PASTE CAMATA","RITA CAMATA",8,1
"ROGERIA BRINGHENTI DE VASCONCELOS","ROGERIA BRINGHENTI",8,1
"SANDRA SHIRLEY DE ALMEIDA","SANDRA SHIRLEY",8,1
"SEBASTIAO FRANCA MOTE","FRANÇA",4,1
"SEBASTIAO JOSE BALARINI","BALARINI",8,1
"SUELI RANGEL SILVA VIDIGAL","SUELI VIDIGAL",7,1
"UBALDO MOREIRA MACHADO","DR. UBALDO",8,1
"VANDERLEIA VICENTE PREDERIGO","VANDERLEIA GRAMPOLA",6,1
"WANDERSON PIRES","WANDERSON PIRES",6,1
"WELINGTON COIMBRA","LELO COIMBRA",8,1
"AGUINALDO GONCALVES MESQUITA","AGUINALDO MESQUITA",8,1
"AILTON AMERICO DE OLIVEIRA","AILTON AMERICO",4,1
"ALEXANDRE CESAR BATISTA FREIRE","ALEXANDRE CESAR",8,1
"ALIOMAR BORGES CORREA","ALIOMAR E LEOMAR",8,1
"ALTAIR DE MOURA FILHO","ALTAIR",5,1
"ANDERSON CRUZ E FREIRE","PEDRO AZULAO JUNIOR",8,1
"ANTONIO JESUS DIAS","ANTONIO DE JESUS",8,1
"ANTONIO ROMEIRO DOS SANTOS","ROMEIRO NETO",7,1
"AVELILURDES DE ALMEIDA GOMES","BRANCA",8,1
"BASILEU MAGNOLIO DA SILVA","BASILEU",7,1
"CARLOS ALBERTO DO NASCIMENTO VALLADA","CARLOS VALLADA",7,1
"CARLOS ANTONIO DE ARAUJO","SOLDADO ARAUJO",4,1
"CARLOS DIVINO GOMES","FONSO",6,1
"CARLOS VASCONCELOS DOS SANTOS","CARLOS VASCONCELOS",8,1
"CLARIMUNDO CAMPOS PINTO","CLARIMUNDO CAMPOS",8,1
"DIRCEU FERREIRA DE ARAUJO","DR. DIRCEU",8,1
"EDIGLAN DA SILVA MAIA","EDIGLAN MAIA",8,1
"EDISON LUIZ FAGUNDES","EDISON FAGUNDES COELHO",6,1
"EDSON FRANCISCO DE MELO","EDSON PINTOR",3,1
"EDUARDO RITA SEVERINO","EDU BRASIL",6,1
"ELVIDIO ALVES REGO","CABO ELVIDIO ALVES",5,1
"ENIO MARCAL PASSOS","MARÇAL",6,1
"EUDESIO DE ARRUDA SCHELLE FILHO","EUDÉSIO SCHELLE",7,1
"EULER IVO VIEIRA","EULER IVO",6,1
"EZIZIO ALVES BARBOSA","DR. EZIZIO",8,1
"FERNANDO NETTO LORENZI","FERNANDO NETTO",8,1
"FRANCISCO GOMES DE ABREU","CHICO ABREU",8,1
"FRANCISCO SOBRINHO DE OLIVEIRA","FRANCISCO OLIVEIRA",8,1
"FABIO TOKARSKI","FÁBIO TOKARSKI",8,1
"GIDEON FRANCISCO DE SOUSA","GIDEON",4,1
"GUIDO MAGALHAES ARANTES","GUIDO ARANTES",8,1
"IRIS DE ARAUJO REZENDE MACHADO","DONA IRIS",7,1
"IVANEY PEREZ ALVES","NEY PEREZ",6,1
"IVO OLIVEIRA COELHO DE SOUZA","IVO",8,1
"JORGE GONCALVES DE MATOS","JORGE GONÇALVES",4,1
"JORIVALDO FERNANDES","MARCOS CABRINI",6,1
"JOSE GENUINO DA COSTA","JOSE GENUINO DA COSTA",3,1
"JOSE DOS REIS LUSTOSA","JOSÉ LUSTOSA",5,1
"JOSE FUSCALDI CESILIO","TATICO",6,1
"JOSE IZECIAS DE OLIVEIRA","PROF. JOSÉ IZECIAS",8,1
"JOSE NILDO CORREIA DO NASCIMENTO","JOSÉ NILDO",7,1
"JOVAIR DE OLIVEIRA ARANTES","JOVAIR ARANTES",8,1
"JOAO CAMPOS DE ARAUJO","JOÃO CAMPOS",8,1
"JOAO MENDES DE REZENDE","JOÃO MENDES",8,1
"JOAO SANDES JUNIOR","SANDES JÚNIOR",8,1
"JULLIANO MELO FRANCA","JULLIANO FRANÇA",6,1
"LEANDRO VILELA VELOSO","LEANDRO VILELA",7,1
"LEONARDO MOURA VILELA","LEONARDO VILELA",8,1
"LEONARDO VELOSO DO PRADO","LEONARDO VELOSO",8,1
"LUIZ JOSE BITTENCOURT","BITTENCOURT",8,1
"MANOEL JOSE DE OLIVEIRA","MANE DE OLIVEIRA",6,1
"MANOEL VIANEY PAIXAO DE SOUZA","MANOEL VIANEY",4,1
"MARCELO ANDRE DOMINGUES","DOUTOR MARCELO",8,1
"MARCELO DA FONSECA","MARCELO DA FONSECA",6,1
"MARCELO DE ARAUJO MELO","MARCELO MELO",6,1
"MARCELO DE OLIVEIRA","MARCELO DO SALOMÃO",6,1
"MARIA BAHIA PEIXOTO VALADAO","MARIA VALADÃO",8,1
"MARIA SINARA LEITE","SINARA",6,1
"MATUSAEL DO NASCIMENTO","MATTOS NASCIMENTO",6,1
"MAURO ZICA JUNIOR","MAURO ZICA",8,1
"MAURELIO MOREIRA ARAUJO","PROFESSOR MAURÉLIO",8,1
"NEYDE APARECIDA DA SILVA","NEYDE APARECIDA",8,1
"OSWALDO FERREIRA DA SILVA","OSWALDO SILVA",7,1
"PAULO HENRIQUE REGIS RIBEIRO","PAULO HENRIQUE (CABECINHA)",6,1
"PAULO SOUZA NETO","PAULO SOUZA",8,1
"PEDRO CHAVES CANEDO","PEDRO CANEDO",8,1
"PEDRO PINHEIRO CHAVES","PEDRO CHAVES",8,1
"RAIMUNDO RONALDO CARNEIRO","RONALDO CARNEIRO",7,1
"RAQUEL FIGUEIREDO ALESSANDRI TEIXEIRA","PROFESSORA RAQUEL TEIXEIRA",8,1
"RAUL SUDARIO CARDOSO JUNIOR","RAULZINHO",7,1
"RENATA NASCIMENTO LEAO","RENATA NASCIMENTO",8,1
"RICARDO OZORIO DOURADO","DR. RICARDO DOURADO",8,1
"ROBERTO EGIDIO BALESTRA","ROBERTO BALESTRA",8,1
"ROBERTO SERGIO PUGLIA","MAG PUGLIA",7,1
"ROBSON DE LIMA VIGNOLI","ROBSON VIGNOLI",7,1
"ROMULADO SANTILLO","ROMULADO SANTILLO",8,1
"RONALDO RAMOS CAIADO","RONALDO CAIADO E CAIADO",8,1
"ROSE MARX WAYNE DE OLIVEIRA","CAPITÃO WAYNE",8,1
"RUBENS AUGUSTO NADER","GUGU NADER",7,1
"RUBENS OTONI GOMIDE","RUBENS OTONI",8,1
"RUY ROCHA DE MACEDO","RUY ROCHA",8,1
"SADRAQUE JOSE GONCALVES","SADRAQUE",6,1
"SANDRO ANTONIO SCODRO","SANDRO MABEL",8,1
"SEBASTIAO BRAS DA CUNHA DOS REIS","SEBASTIÃO REIS",8,1
"SEBASTIAO IRAIDES BARBOSA","DR. FARIA NETO",8,1
"SEBASTIAO SOUZA LIMA","TIÃO BARBA",8,1
"SUDARIO SILVERIO DE SOUZA","SUDARIO",8,1
"TANIA COELHO DE CARVALHO","TANIA E TANIA COELHO",7,1
"VALDIR ALVES PINTO","VALDIR",7,1
"VANDER LUIZ DE MELO","VANDER LUIZ",5,1
"VILMAR CAETANO RIBEIRO","VILMAR POPULAR",5,1
"VILMAR DA SILVA ROCHA","VILMAR ROCHA",8,1
"WALDECY ANDRE DA SILVA","ANDRÉ WALKER",6,1
"WALDIR DA SILVA CAMELO","WALDIR CAMÊLO",8,1
"WESLEY CLAYTON DA SILVA","WESLEY SILVA",3,1
"WILLIAM FRANCISCO SILVESTRE DO NASCIMENTO","WILLIAM SILVESTRE",8,1
"ABDELAZIZ ABOUD SANTOS","AZIZ",8,1
"ABMAEL ESSER BEZERRA RIBEIRO NETO","ABMAEL ESSER",6,1
"ALBERICO DE FRANCA FERREIRA FILHO","ALBÉRICO FILHO",7,1
"ALMIR ALVES DOS SANTOS","ALMIR",6,1
"ANA MARIA GOMES PEREIRA","DRA.  ANA",8,1
"ANTONILDES MEDEIROS MOTA GOMES","ANTONILDES MOTA",8,1
"ANTONIO ALVES OLIVEIRA","TONINHO DA BRILHO",6,1
"ANTONIO CARLOS AZEVEDO FERREIRA","ANTONIO CARLOS",8,1
"ANTONIO CARLOS OLIVEIRA DA COSTA","CARLITINHO",5,1
"ANTONIO DA CONCEICAO COSTA FERREIRA","COSTA FERREIRA",8,1
"ANTONIO JOAQUIM ARAUJO FILHO","ANTONIO JOAQUIM",8,1
"ANTONIO MARCOS SILVA","MARQUINHOS",6,1
"ARNALDO SOUSA BARROS","DR. ARNALDO",8,1
"AROALDO SANTOS","DR. AROALDO",8,1
"AUGUSTO ALVES DE ANDRADE NETO","AUGUSTO NETO",8,1
"BARTOLOMEU BARBOSA DE SOUSA","BARTOLOMEU",6,1
"BENE ANDRE CAMACHO ARAUJO","DR. BENE",8,1
"BENEDITO DE DEUS PINTO","BENE",6,1
"BENEDITO DOS SANTOS","BINÉ",5,1
"BENTO VIEIRA","BENTO VIEIRA",8,1
"BERNARDO CARVALHO NUNES","BERNARDO CARVALHO",4,1
"CARLOS CESAR SA FURTADO","CESAR FURTADO",6,1
"CARLOS FERNANDO D'AGUIAR SILVA PALACIO","FERNANDO PALÁCIO",8,1
"CARLOS HENRIQUE BORGES NERES","CARLOS HENRIQUE BORGES NERES",5,1
"CARLOS MAGNO DOS REMEDIOS","CARLOS MAGNO",6,1
"CARLOS ORLEANS BRANDAO JUNIOR","CARLOS BRANDÃO",8,1
"CELSO CORREA PINHO","CELSO PINHO",8,1
"CLEBER CORDEIRO MENDES","CLEBER VERDE",7,1
"CLOVIS ANTONIO CHAVES FECURY","CLOVIS FECURY",8,1
"CLOVIS DE JESUS SAVALLA CORREA CARVALHO","CLOVIS SAVALLA",8,1
"DAVI ALVES SILVA JUNIOR","DAVI ALVES SILVA JUNIOR",6,1
"DENERVAL NUNES AMARAL","PIPIU",7,1
"DEUTZ SOARES DE SOUSA","DEUTZ CAVALCANTE",6,1
"DILSON DOS SANTOS MATOS","DILSON MATOS",6,1
"DOMINGOS FRANCISCO DUTRA FILHO","DUTRA",8,1
"EDUARDO SALIM BRAIDE","EDUARDO BRAIDE",8,1
"EDVAN UCHOA BEZERRA","ZE RIBEIRO",6,1
"ELEOTERIO NAN SOUZA","NAN SOUZA",8,1
"ELISEU BARROSO DE CARVALHO MOURA","ELISEU MOURA",8,1
"FLAVIO DINO DE CASTRO E COSTA","FLAVIO DINO",8,1
"FRANCISCO DA SILVA ALMEIDA","CHICO BRASIL",8,1
"FRANCISCO DE ASSIS DA SILVA ALMEIDA","FRANCISCO ALMEIDA",6,1
"FRANCISCO LUIZ ESCORCIO LIMA","CHIQUINHO ESCÓRCIO",7,1
"GASTAO DIAS VIEIRA","GASTÃO VIEIRA",8,1
"GENIVAL ABRAO FERREIRA","DR. GENIVAL",8,1
"HONORIO PIRES DE MEDEIROS","HONÓRIO",8,1
"JOAO BASTOS TAVARES FILHO","BASTOS",3,1
"JOAQUIM WASHINGTON LUIZ DE OLIVEIRA","WASHINGTON",8,1
"JOMAR FERNANDES PEREIRA FILHO","JOMAR FERNANDES",8,1
"JORGE WILSON SOARES STEPHANO","STEPHANO QUEIROZ",8,1
"JOSE ANTONIO FIGUEIREDO DE ALMEIDA SILVA","JOSE ANTONIO ALMEIDA",8,1
"JOSE CUTRIM ABREU","ZÉ ABREU",6,1
"JOSE DE DEUS FERREIRA DOS SANTOS","ZE DE DEUS",8,1
"JOSE DE RIBAMAR COSTA ALVES","DR. RIBAMAR ALVES",8,1
"JOSE DE RIBAMAR JANSEN PENHA","JANSEN",6,1
"JOSE EDILSON DE SOUSA SILVA","IRMÃO EDILSON",6,1
"JOSE ELEONILDO SOARES","PINTO DA ITAMARATY",8,1
"JOSE EUDES CARVALHO SILVA","DR EUDES CARVALHO",8,1
"JOSE FARIAS","ZE FARIAS",6,1
"JOSE FERNANDO GONCALVES DE SA","FERNANDO",4,1
"JOSE FRANCISCO NETO","O LOURINHO",5,1
"JOSE LUIS J. L. SANTOS","DR. J. L. SANTOS",8,1
"JOSE RIBAMAR PINHEIRO FRAZAO","GARÇOM ZE FRAZÃO",5,1
"JOSE SARNEY FILHO","SARNEY FILHO",8,1
"JOSE SARNEY MOREIRA","SARNEY MOREIRA",6,1
"JOSE VIEIRA LINS","ZÉ VIEIRA",4,1
"JOSIAS LIMA DE OLIVEIRA","JOSIAS OLIVEIRA",8,1
"JULIO CESAR DE OLIVEIRA AFFONSO","JULIO CESAR",8,1
"LEONIDAS RABELO SILVA","CABO SILVA",6,1
"LUCIANO FERREIRA DE SOUSA","LUCIANO LEITOA",7,1
"LUIZ CARLOS FARIAS DO LAGO FILHO","LAGO FILHO",8,1
"LUIZ CARLOS LIMA ALMEIDA","LUIZ CARLOS",8,1
"MANOEL REGO DOS SANTOS","MANOEL REGO",6,1
"MARCIO ALEX BERREDO BRASIL","ALEX BRASIL",7,1
"MARCOS OLIVEIRA GAZEL","MARCOS GAZEL",6,1
"MARIA DA PAIXAO LISBOA BOGEA","PAIXÃO BOGEA",3,1
"MARIA TERESA TROVAO MURAD","TERESA MURAD",7,1
"MARILIA LIMA MENDONCA","MARILIA MENDONÇA",8,1
"MARIO ANTONIO FERREIRA DE SA","TONY FERREIRA",6,1
"MARYA CAROLINA MEDEIROS ROZARIO","KAROL MEDEIROS",8,1
"MELQUISEDEC MOREIRA COSTA","MELQUISEDEC - MELQ",8,1
"MURILO FELIX DUALIBE BARROS REGO","MURILO FÉLIX",8,1
"NAILMA DA GAMA ROCHA DUARTE","NAILMA DA GAMA",8,1
"NICE LOBAO","NICE LOBÃO",6,1
"PEDRO FERNANDES RIBEIRO","PEDRO FERNANDES",8,1
"PEDRO NOVAIS LIMA","NOVAIS",8,1
"PLINIO MEDEIROS","PLINIO MEDEIROS",6,1
"RAIMUNDO DA SILVA COSTA","R COSTA",8,1
"RICARDO WAGNER DE CARVALHO LAGO","WAGNER LAGO",8,1
"ROBERTO CARLOS BRAGA DE OLIVEIRA","ROBERTO CARLOS",8,1
"ROBERTO COELHO ROCHA","ROBERTO ROCHA",8,1
"ROQUE AZEVEDO DOS SANTOS","SANTOS ROQUE",6,1
"SAMUEL PEREIRA DOS SANTOS","SAMUEL SANTOS",8,1
"SEBASTIAO DJALMA GOMES","DJALMA GOMES",8,1
"SEBASTIAO TORRES MADEIRA","MADEIRA",8,1
"TELMA PINHEIRO RIBEIRO","TELMA PINHEIRO",8,1
"WALDIR MARANHAO CARDOSO","WALDIR MARANHÃO",8,1
"WALTER SILVA","WALTER MARESIA",3,1
"WASHINGTON LUIS CAMPOS RIO BRANCO","WASHINGTON RIO BRANCO",8,1
"WERITON SOUSA PEREIRA","WERITON",6,1
"ZOZILDO ALMEIDA SILVA FILHO","ZOZILDO PRETO FILHO",7,1
"ABRAHAO HISSA SAFAR NETO","ABRAHÃO HISSA",7,1
"ACACIO MARQUES","ACÁCIO MARQUES",4,1
"ADELINO CARVALHO LINO","ADELINO DE CARVALHO",8,1
"ADEMIR CAMILO PRATES RODRIGUES","ADEMIR CAMILO",8,1
